Data Training;Id Film;Sentimen
"Gatau berapa kali ni video saya ulang,tp tetep aja merinding :"") SUKSES FILM ANAK BANGSA!❤";2;Positif
Ajib banget filmnya mau nonton lagi;2;Positif
Akting Iqbaal disini meningkat drastis dibanding film sebelumnya. Good job boy❤️;2;Positif
Kalau lokal saja bagusnya kaya gini, kenapa kita harus tergila dengan yang luar luar? Hidup pe film an indonesia;2;Positif
Aku barusan nonton maaf y agak terlambat filmnya bagus dramanya dapet ,endingnya bikin nangis siip lah pokoknya;2;Positif
Wow. Baru lihat trailernya aja udah berasa kalau Filmnya ini bakal penuh dengan Inspirasi Kehidupan.;2;Positif
Mau nangis liatnya, keren sekaliiiii😭😭 cant wait for 15 august. See u on cinema, Ann, Mas minke. ❤️;2;Positif
Apapun suku, agama, ras dan budayanya. Gue bangga jadi Indonesia 🇮🇩;2;Positif
Gila sih keren banget. Feel nya dapet bgt. Wajib nonton nih;2;Positif
Masya allah , ini bnr bnr film yg bkin aku nangis ,dan pengen nonton lg 😭😭 kasihan ending ny ko gtu .. 😢 bkin baper;2;Positif
MASYA ALLAH, SANGAT INDAH!!! SUNGGUH!!! LUAR BIASA!!! Terharu Ya Allah, tak sabar menunggu tanggal 15 Agustus 2019, AAAAAA!!! <3;2;Positif
Baruu nonton kemarinn, dan emang bagus bgtt patut diacungi jempol 😥😍😍;2;Positif
Sangat Sangat Pecah!!! dengan durasi 3 jam ga ngebosenin, salut;2;Positif
Yang komen iqbaal ga pantes peranin minke. Nonton dulu mending sebelum menilai. Udah nonton belum hari ini udah rilis. Baru balik lagi komen🙂;2;Positif
Annn..!! Ann... Suweer nih film sedih bangett.. Sayang sih kalau film sebagus ini masih kalah sama dilan;2;Positif
Sampai terbawa mimpi hbs nonton kemarin, diluar ekspektasi, film sejarah pertama yang bener' aku tonton. Selamat untuk mas hanung seluruh crew dan pemain bumi manusia.;2;Positif
Film ini cerita nya sangat mendalam kayak aslinya yg ada di buku BUMI MANUSIA yang asli;2;Positif
Makin kesini perfilman indonesia semakin mantap. Gw bangga dan gw puas dgn perfilman indonesia sekrg.;2;Positif
Film ny bagus, ampe ke bawa mimpi.....9 dari 10,,, akting Minke, anelis, nyai, dkk bagus2...;2;Positif
Abis nonton film ini lanjut nonton pemburuan,, berasa nyambung;2;Positif
Baru banget nonton baru pulang dr bioskop. Overall ini film bagus bgt!;2;Positif
Cant wait:)) Semoga sukses Bumi Manusia Aamiin;2;Positif
Filmnya keren bngt parahhh yaampun, gua kasih rate 10/10🇮🇩😍❤️;2;Positif
Wow. Baru lihat trailernya aja udah berasa kalau Filmnya ini bakal penuh dengan Inspirasi Kehidupan.;2;Positif
qbaaaal kenapa sih setiap film kamu itu selalu gak happy ending dan buat kepikiran terus? Kamu bener-bener bisa bikin yg nonton masuk ke dalam cerita kamu. I love you ball♥️😘;2;Positif
Film yang sangat berkualitas. Terimakasih telah membuat ferfilman indonesia yg makin berkulaitas. Kereeeen bangett;2;Positif
Sumpah jatuh cinta bgt ama film iniiiiii Indonesia butuh film yg lainnya macam ini love film indonesia;2;Positif
gw bis nonton film ini, tp berasa peng nonton lg, bagus filmnya, tp sayang endingnya sedih bet dah sedih terakhirnya;2;Positif
udh nontonnnn dong!!!!! gilaaaaa kerennnnn bgttt!!! 😭💔❤;2;Positif
Film yg paling rame dan sedih AKHRNYA SEDIH BANGET;2;Positif
Film yang luar biasa bagus,, bisa membangkitkan emosi dan nasionalisme. BANYAKIN FILM NYA;2;Positif
Keren ini filmnya. Suer ! 😁 WAJIB NONTONNN ;2;Positif
KEREN paraaaaaah sihh filmnya. Nau nnton lagiiiiiiiii🧡🧡🧡 LOVEEE KEREN;2;Positif
Aku akan menunggu film ini dan nonton di bioskop LOVEEEEE;2;Positif
film nya 100% baguuuusss, berhasil membuat naik turun emosi para penonton nya KEREEEN IQBALLL;2;Positif
KALIAN WAJIB NONTON INI FILM BENER BENER SERUUU!!! HARUSSS NONTON;2;Positif
Harus nonton. Gua rasa ini film 2019 terkeren wajib nonton banget;2;Positif
Lumayan lahh filmnya hehe:)) bagusss keren ;2;Positif
agak kecewa pemerannya di ganti;2;Negatif
Pemeran cewe nya aku g suka :( anelisnya ga sukaaaa;2;Negatif
Ga sesuai ekspetasi gue 😭 tempatnya;2;Negatif
Aneh sumpah😂😂 tempatnya gtu ;2;Negatif
Agak sedikit berbeda latar tempatnya ga sesuai;2;Negatif
Anjaaaay kecewa gw😭 film nya kelamaaan bikin ngantukkk;2;Negatif
Bukannya gmn, tpi cuman dri trailernya aja udh ga asik :(( dan filmnya kelamaaan jadi bikin males nonton;2;Negatif
"Kecewaaaa :""( tempatnya jeleekk";2;Negatif
Pemilihan nya, gak pke audisi kah? :'v bosen iqbal terus;2;Negatif
bosen iqbal mulu yang maennya;2;Negatif
GA SERUUUU BOSEN IQBAL TERUSSS;2;Negatif
biasa aja sih sebenrnnya pda lebay nontonnya;2;Negatif
Menurut Gw iqbal bagusan di Dilan mainnya disini biasa aja;2;Negatif
sumpah apa cuma gw yang notnnya biasa aja cuman seru di trailer nya tpi film nya kurang bagus;2;Negatif
GA SERUUU pemerannya itu mulu jadi males nonton;2;Negatif
WOOOOiiiii ga ada pilihan lain lagi apa pemerannya, ga mau nonton soalnya itu mulu pemainnya;2;Negatif
ga seruuu ada adegan begitu nya;2;Negatif
filmnya kelamaan 3 jam jadi ga mau nonton mending film luar;2;Negatif
Semoga film indonesia semakin berjaya...;7;Positif
Kereeeen euy film na, mana yeuh orang Sunda;7;Positif
sukses RANS RA picture 💜;7;Positif
Flimnya bagus bangettttt❣;7;Positif
"MIRIP BGT SAMA FILM HOLLYWOOD ""ISN'T IT ROMANTIC"" YAAAAHHHH KALO YG PADA KEPO CEK AJA MIRIP KOK";7;Positif
Udh ga sabar pengen nonton filmnya🙌🙌;7;Positif
Woyy sukses filmnya.. semoga bisa nyampe 500rb-1jt penonton, Aamiin;7;Positif
Bener bener ratu raja kayak yang di novel;7;Positif
flmnya ditunggu”😭akhirnya ad juga novelnya aja udh baper apa lagi flmnya🤗;7;Positif
Keren nih pasti filmnya yakin deh :);7;Positif
akhirnya film yg gue tunggu ini mah😍😍;7;Positif
Sumpah filmnya bagus banger sampe gw nangis2 wkwkw😂;7;Positif
KALIAN WAJIB NONTON INI FILM BENER BENER SERUUU!!!;7;Positif
Harus nonton. Gua rasa ini film 2019 terkeren;7;Positif
Aku sudah nonton film nya sangat bagus dan sangat seru banget kalian harus banget nonton deh salam kenal;7;Positif
Aku akan menunggu film ini dan nonton di bioskop;7;Positif
KEREN paraaaaaah sihh filmnya. Mau nnton lagiiiiiiiii🧡🧡🧡;7;Positif
So so so so rekomended gaissss❤️ HARUSS NONTON;7;Positif
Sumpah film ini bagus banget, feel ya dapat. Dan sesuai dengan harapan aku banget film ini. Yg blm nonton wajib nonton 😀😀😀😀 SEDIHHH bangeet rafii keren;7;Positif
SUKSESS semoga filmya bisa memberikan bnyk pelajaran.❤;7;Positif
Keren,sangat sangat bagus ,, maju terus perfileman indonesia ❤️💞👍✊😎 bagus film INDONESIA;7;Positif
Baru banget nonton baru pulang dr bioskop. Overall ini film bagus bgt! Sedih bangeeeet terharuuu;7;Positif
Film nya seru tapi gk bisa liat fi bioskop 😭😭 PEEEENGEEEN LIAAATTT;7;Positif
"1 kata ""KEREN"" WAJIBBBBB POKOKNYA";7;Positif
Mau nangis liatnya, keren sekaliiiii😭😭 ❤️;7;Positif
nonton trilernya aja udh netes apalagi nonton full😭 SEDIHHH harus banyak bersyukur;7;Positif
Lagi liat trailernya aja dah merinding, gimana ma filmnya bagus banyak pelajaran;7;Positif
Bagus bgt film ini , penuh emosional 😊 harus bersyukur;7;Positif
Gila sih keren banget. Feel nya dapet bgt. Wajib nonton nih;7;Positif
Ajib banget filmnya mau nonton lagi kereeeen rafffiiii aktingnya;7;Positif
udh nontonnnn dong!!!!! gilaaaaa kerennnnn bgttt!!! 😭💔❤ RAFFFIII LOVEEE;7;Positif
Maju terus perfilman Indonesia, saya suka film ini harus banyak filmnya;7;Positif
Sumpah gilak! Beda bgt ama webtoon. Ini jauh bgt dri yg gue pkirin;7;Negatif
Ga sukaaaaaaa Sumpah ga sukaaaaa Benci bangeet!! Ga sesuai ekspektasi;7;Negatif
Jelek banget pemeran Ran.. 😭😭😭;7;Negatif
Ni yg bkin ini film dh prnh sukses bikin film apaan si smpai berani2nya asal nekat adaptasiin webtoon;7;Negatif
Kurang pass, dari karakter orang nya sampe dialognya.;7;Negatif
Kurang dapet sensasinya;7;Negatif
Payah;7;Negatif
Kecewa sekali;7;Negatif
Gua ngk suka,, mending baca koniknya aj,, filmnya ngk,, 🤣😅;7;Negatif
Pemeran cewe nya aku g suka :(;7;Negatif
Ni film udah di komentari pedas kecewa, bukanya diperbaiki malah di rilis.. 🙄🙄;7;Negatif
kalo di liat-liat agak mirip drakor familiar wife sih;7;Negatif
"MIRIP BGT SAMA FILM HOLLYWOOD ""ISN'T IT ROMANTIC"" JADI MALES NONTON GA SERUUU";7;Negatif
Pasti ga seru RANS mah cuman kuat di modal tapi kualitas film ga rame;7;Negatif
pasti ga laku nih film cuman modal artis tenar doang;7;Negatif
Biasa Aja WOOOOOI ga RAMEEE;7;Negatif
Mirip film luar nih mah kayak niru jadi ga seru nih film;7;Negatif
ga rameeee si raffi ga modal apa dia yang bikin dan dia yang maennn ga rame males nonton;7;Negatif
AHHHH MALES  GA RAMEEE pemain itu terus coba cari yang lebih cantik ;7;Negatif
Film sampah ga rame film yang dibuat si raffi mah;7;Negatif
Film yang ga mungkin terjadi ga rameeee;7;Negatif
tapi bagus si iniiiii walaupun beda versii😭❤😍;3;Positif
Ga sabar banget yaaAllah pengen nonton;3;Positif
Kok Ganteeeng Ya allah jadi pengen nonton;3;Positif
Video terbaik pembuatannya 2019;3;Positif
FILM NYA SERU PARAHHHH👍🏻👍🏻;3;Positif
Ini film bagus banget...;3;Positif
waduhhh like bangettt, ditunggu film nyaaaa❣️❣️❣️❣️;3;Positif
Trailer nya aja udh sekeren ini, gimana film nya❤;3;Positif
Yang ditunggu tunggu akhirnya rilis juga yaallah😍💙😢;3;Positif
Gw suka remake film ini, bagus. malah lebih bagus dari remake Miss Granny.;3;Positif
Keren banget gilaaa;3;Positif
"Gak sabar nunggu film nya;)";3;Positif
Salah satu film Indonesia yang menimbulkan efek bahagia setelah menontonnya.;3;Positif
Trailernya bagus, lucuuuu banget;3;Positif
Aaaa Eggnoid 😍 pengeeen nontooonnn udah ga sabaarrr;3;Positif
Morgan lucul bgttttt sumpah😭 jadi pengeeen nontonnn;3;Positif
Hargai karya orang lain aja.. Segini bagus kok film nya hebat bisa bikin kayak gini;3;Positif
Omg ini film ngakak abis 🤣 lucu bener haha;3;Positif
Asikkk dah di jadiin filem m ♡♡😍😍 udah ga sabaar pengen nontonn;3;Positif
YA AMPUN 😂 UDAH ADA FILMNYA AJA JADI PENGEN NONTON SERU ;3;Positif
Recomended buat yng pen ngakak klo pen bs ketawa LUCUUU BANGEETT HAHA;3;Positif
bagus si iniiiii walaupun beda versii😭❤😍 LUCUUU;3;Positif
Kenapa pemerannya, gak se ekspektasi MALES BANGET;3;Negatif
Kecewa sekali ga sesuai pikiran gw maless banget buat nonton;3;Negatif
Auto gak jadi nonton. Gini amat :'v jadi malesss buat nontonnn ga ramee;3;Negatif
Maaf, sgt di luar ekspetasi aku:(;3;Negatif
Knp sih live action sering banget mengecewakan pembaca karya originalnya;3;Negatif
Terus terang pemilihan pemerannya pada ga cocok. Kecewa..;3;Negatif
Imajinasi ku tentang eggnoid jadi ancur ga rameeee;3;Negatif
seharusnya produser sblm bikin film harus di baca lagi dari awal episode di webtoon sampai habis. lah ini jauh banget dari ekspetasi :( males nonton;3;Negatif
Terus terang pemilihan pemerannya pada ga cocok. Kecewa..;3;Negatif
Pemeran ran nya harusnya yg jd grace, ga cocok banget asli.;3;Negatif
Mau ditonton berapa kali pun aku kecewa. Benar2 diluar ekspektasi ceritanya. ;3;Negatif
"Menurut aku sih ini jauh dari ekspetasi kali :'""( kecewa aku tuh jdi penggemar eggnoid";3;Negatif
"Kecewaaaa :""(";3;Negatif
Ga sesuai expretasi banget sih;3;Negatif
pdhal udh nungguin ni trailer keluar:( ehhh jadinya ko gini. Ga sesuai sama ekspetasi:((;3;Negatif
Ga sukaaaaaaa Sumpah ga sukaaaaa Benci bangeet!! Ga sesuai ekspektasi;3;Negatif
"""MERASA KECEWA"" TITIK";3;Negatif
Bukannya gmn, tpi cuman dri trailernya aja udh ga asik :((;3;Negatif
Ceritanya beda banget sama Webtoon. ;3;Negatif
Anjaaaay kecewa gw😭;3;Negatif
Auto gak jadi nonton. Gini amat :'v;3;Negatif
Film berdasarkan kisah nyata.. Pas bngt judulnya jembatan ancol.. Baru di buat layar lebar di 2019..bagus nih menurut saya filmnya;9;Positif
Asli recommended nih film nya;9;Positif
Siapa yang baru aja nonton, gila si keren bangett film nya 😍;9;Positif
Baru kali ini gw tertarik. Keren Nonton ah;9;Positif
Uda nonton tadi gila seru banget , ngagetin , ending gaketebak;9;Positif
Cantik bgett ya;9;Positif
"Bagus banget flm nya ada sedih nya dapet,lucu nya juga dapet jadi gk tegang"" amat lah pas nonton nya. Good dhh 👍🏽";9;Positif
Flm nya baguss..;9;Positif
Ini Baru film Horor Merinding gue liat Trailer nya juga;9;Positif
Aku udah nnton film ini kmren ke bioskop...wah aku suka bgt sama film ini....luar biasa..;9;Positif
recommended buat di tonton, bagus banget jalan cerita dalam filmnya;9;Positif
Film horror lagi mendominasi di bioskop Indonesia, and i like it!;9;Positif
Filmnya bagus,kemaren udh nonton di special screeningnya;9;Positif
Gue udah nnton sumpaahh kisah percintaan nya ke real gtuu menyayat nyayat hatiii,,, 😢;9;Positif
Kereeeeeennnn banget. Udah nonton filmnya;9;Positif
Makin bagus film Indonesia.. horor nya udh jauh bgt dari porno pornoan 😍 ,cocok nonton bareng keluarga atau temen;9;Positif
Siapa yang denger backsound nya enak dan seruuu trailernya bagusss ;9;Positif
siapa yang setuju indah itu cantik bangeeet sukaaa sama filmnyaaa;9;Positif
Baru kali ini denger OST film horror sebagus ini gasabar nonton filmnya ❤️❤️❤️❤️;9;Positif
Waktu dia melayang di jembatan, EPIC banget sih !! Kereeeen asli seruuu pengen nonton;9;Positif
Siapa yang baru aja nonton, gila si keren bangett film nya 😍;9;Positif
Gw ulang ulang terus trailernya Soalnya suka bangett 😍 pengeeen nonton;9;Positif
Keren keren, film ini pasti bakalan mbludak tembus 5 jt hehehe menjelang tahun baru..;9;Positif
Ga sabar nunggu film nya sukses selalu ❤️❤️;9;Positif
Film yg bagus, visual effectnya juga keren,;9;Positif
HOROR & DRAMA dua perasaan tegang dan sedih jadi tercampur di film ini, MANTAP...kereennnn harusss nonton;9;Positif
"Ide ceritanya keren.. Tidak terlalu kemewah""an.. Siap harusss nonton.. 👍🏻😊";9;Positif
Gini dong bukan horor porno kaya yang udh2 maju terus film horor indo terbaik di Asia amin;9;Positif
keren bgt nih. film lama diangkat kembali dg sentuhan yg lebih kekinian. semoga booming film nya;9;Positif
Baru kali ini gw tertarik. Keren Nonton harusss;9;Positif
Ini Baru film Horor Merinding gue liat Trailer nya juga kerennnn bangeeet;9;Positif
Filmnya bagus banget😍 waktu itu aku nntn sampe nangis sendirian 🤣ya intinya makin bagus deh untuk film horor Indonesia,,,mantulll;9;Positif
Filmnya keren bangett!haruss dinonton!😍;9;Positif
Keren neh film, gw ntn triller nya aja sampe gw ulang ulang...asli keren!!!;9;Positif
BOSEN HORRRORRR TERUS GA RAME MALES NONTONNYA;9;Negatif
buat gw film horor indonesia gitu gitu aja GA SERUUU MALES BUAT NONTONN JELEK GARING;9;Negatif
trailernya jelek sangat mengecewakan ga seruuu;9;Negatif
horor terus males buat nonton ga seruuuu jelek banget pemainnya;9;Negatif
Rada kecewa pas mau ending plot twist banget bikin kecewa :'( kecewa banget ;9;Negatif
Film yg sangat gak bermutu.. Rugi saya dah beli tiket buat lihat film sprt ini. Sangat gak layak tayang di bioskop..!! MALESSS GA SERUUU ;9;Negatif
Ini trailer kayanya sengaja udah gambarin seluruh alur filmnya, JADI BIKIN MALES NONTON PASTI GA SERUUU;9;Negatif
Jangan percaya sama trailer nya, tau sendiri Anggi Umbara play plot twisstttt nya gimana. Trailernya aja jelak gimana film nya pasti garing ga seruuuu;9;Negatif
Gk Sesuai Ekspektasi Aku:') ;9;Negatif
Ga sesuai ekspektasi pemainnya :;9;Negatif
Kecewa sekali;9;Negatif
Kurang pass, dari karakter orang nya sampe dialognya.;9;Negatif
Sumpah emosinya nggak dapet banget 😭😭;9;Negatif
Beda jauh sama versi dulu ga rameeee;9;Negatif
Aneh sumpah😂😂;9;Negatif
Kenapa flim.yg di ambil dari film dulu selalu beda sama aslinya.. Kecewa liat pemainnya ga seram banget;9;Negatif
imajinasiku sudah berbeda 😭😭 GA RAMEEEE;9;Negatif
Ceweknya ga secantik dulu jadi males nonton;9;Negatif
Ni film udah di komentari pedas kecewa, bukanya diperbaiki malah di rilis.. 🙄🙄;9;Negatif
Pemeran nya kurang cocok beneran ga seruuu:) gatau knp rada kurang srek gtu😂😂😂;9;Negatif
Pemeran cewe nya aku gasuka :(;9;Negatif
FILM NYA GA SERU PARAHHHH;9;Negatif
Film remaja berkualitas di tahun ini;5;Positif
Ini film terkeren.... semoga tetep sukses.;5;Positif
bikin baper sumpah, ga sabarr buat nonton 😂😂😂;5;Positif
Keren sih ini trailernya, semoga filmnya lebih keren lagi!;5;Positif
So film ya bagus parah, recommended lah buat di tonton;5;Positif
Keren uyyy, makin udah gk sabar nii.;5;Positif
Sukkkaaaaaaaa 😍😍 Baper duluan liatnyaa 😍😍;5;Positif
Ga sabar nunggu film nya di bioskop:');5;Positif
Keren banget gilaaa;5;Positif
Trailer nya aja udh sekeren ini, gimana film nya❤;5;Positif
"Gak sabar nunggu film nya;)";5;Positif
Fixx harus nontonnnn;5;Positif
trailer aja gak mutu apalagi filmnya!!!;5;Negatif
Kagak lucu...mending yang lama...;5;Negatif
Gak Se seru yang versi Ringgo;5;Negatif
kalo nonton ini mending ekspektasi diturunin dan jgn dibandingin sama versi aslinya deh, daripada kecewa;5;Negatif
ga lucu 😓😓😓;5;Negatif
sampah ...;5;Negatif
Payah;5;Negatif
agak kecewa pemerannya di ganti;5;Negatif
Jomblo 2006 masih legend banget dah. Yang ini Trailernya belum kena banget sih ga rameee;5;Negatif
Ga ga ga ga bagus...mending bikin judul baru..jgn rusak jomblo 2006;5;Negatif
Intinya gak bakal bisa ngalahin jomblo 2006 ,itu udh paket lengkap yang ini ga seruuuu males nonton;5;Negatif
Bakalan Gokil ini pasti 😄;8;Positif
Jujur film2 komika lah yg membuat film2 bioskop Indonesia makin lebih baik;8;Positif
sumpah keren banget ini film baru saja nonton di XXI Sangat lucu dan rekomended banget deh;8;Positif
Rupanya...YouTube sudah mulai dipandang Oleh produser2 film. Sampai di bikin film tentang YouTube bgini kerennnn bagusss;8;Positif
barusan nonton😭❤️ kereeennn seruuu lucuuu;8;Positif
Gue dah liat filmnya, seru lucu banget;8;Positif
Wow ada film indonesia yang baru ya .... Semoga film ini bermanfaat bagi anak muda.;8;Positif
keren, kocak, ad sedih nya jg, dan ad makna nya di film ini... sukses terus buat ernest..;8;Positif
kayaknya gue bakal ketawa dan nangis nih klo nnton filmnya..lucuuu dan seruuu;8;Positif
Gila trailernya aja udah keren bangeeeetttt😍😍😍😍 bikin ketawa ;8;Positif
Gw udh nonton film nya keren saingan sama mars met venus sama rafathar nih;8;Positif
Kereeeen 🙌 sukses the underdogs & sukses;8;Positif
fix gasabar sama filmnya!😊😊 pengeeen nonton;8;Positif
Bakalan Gokil ini pasti 😄 LUCUUUU BANGET PASTI JADI GA SABAR;8;Positif
Jujur film2 komika lah yg membuat film2 bioskop Indonesia makin lebih baik;8;Positif
sumpah keren banget ini film baru saja nonton di XXI Sangat lucu dan rekomended banget deh SERUU BANGET WAJIB NONTON HARUS;8;Positif
Gue dah liat filmnya, gokill sobb seruuu banget wajib nonton ;8;Positif
filmnya menarik banget;8;Positif
harus nonton!! Hahaha lucuuu banget ;8;Positif
Kereeeen 🙌 sukses the underdogs & sukses capt sheryl sheinafia 💙💙💙 lucuuuu banget;8;Positif
Film terkeren sumpah😍;8;Positif
bagus lucu filmnyaaaa😍;8;Positif
Semoga sukses kayak CTS ya;8;Positif
Film ini keren banget, ini wajib di tonton untuk menjadi youtubers, jangan sampe ketinggalan;8;Positif
Gila trailernya aja udah keren bangeeeetttt😍😍😍😍 bikin ketawa bahkan smpe mewek. keren bangeeetttt!!! akan usahain spaya bisa nonton😍😍 Amin;8;Positif
sumpahhhh.. ini kren bangat.. blum bisa move on dri ini flim.. soundtrack nya jga kece kece.. sahabat adalah hebat..;8;Positif
Gokil sumpah ni trailer kalo filmnya mah beh gokil banget pake banget gk boong sukses terus startvision;8;Positif
film ga seruuu gini di banggain basi ga rame ga mutu nih ;8;Negatif
mengecewakan ga rame males buat nonton;8;Negatif
"jelek,,,, mending ""total chaos"" garing nih film ga seru";8;Negatif
kayaknya ni film bakal tembus 2 jt tapi dalam mimpi wkwkw....ga seruuu gini dibilang keren yang ada jelek ga rameee males buat nonton;8;Negatif
yak ceritanya udah jelas di trailer, gausah nonton filmnya lagi garing jelek pasti males nonton;8;Negatif
gk ada taditya dika kurang booomm! Pastiii garing ga rameeee males nonton;8;Negatif
sampah perfilman Indonesia;8;Negatif
Ah sudah lah..kualitan film indonesia makin lama makin turun ga seruuuuu;8;Negatif
Nyesel gua nonton trailernya :v ga rameee;8;Negatif
gw dah nonton dan nyesel..gak recomended ga rame ga bagusss;8;Negatif
Trailernya aja garing gini, apalagi nontonnya. Gak selera nonton ah. Jadi males nonton;8;Negatif
Ga masuk akal filmnya ga rame;8;Negatif
lawakannya garing semua. melucu tapi gak lucu! Jadi males buat nonton;8;Negatif
angan nonton. Sumpah nyesel gw nonton. Lawakan garing apalagi yg anak cewek itu, gayanya tua. Gak lucu.;8;Negatif
sumpah.. ga ada bagus2nya.. Ga rameee ga bagusss;8;Negatif
Jelek nih film gak bakal laku pasti;8;Negatif
Gak pernah berkembang film comedy indonesia Sedih :(  ga rameee ga mau nonton;8;Negatif
Keren kok.. Menghibur.. Aku udah nonton;4;Positif
ok ok ane ketawa nonton trailer ini ... hahaha, nice rame kok lucu banget;4;Positif
Aku jadi ingin nonton seru lucu banget;4;Positif
Aduhhh kok makin kesini film layar lebar indonesia keren lucu rame banget;4;Positif
Kayanya bakal jadi salah satu film Indonesia yang bagus di tahun ini;4;Positif
Cuma mau bilang, pemainnya BAGUS SEMUA dan GAK ADA YANG JELEK! Harus banget nonton film ini! 💙😭;4;Positif
Flm nya baguss..;4;Positif
Konsep filmnya bagus. Blum ada yg semcam kayak gini. Gua ngerasa makin kesini film indonesia makin keren sadis gak cuma cinta2am doang kyak dulu2 .;4;Positif
Filmnya keren, smoga ada lanjutannya soalnya luccuuuuu;4;Positif
Film komedi yang beda dari biasa. Semoga filmnya bener2 sekeren trailernya lucuuuu habis;4;Positif
ini film gokil habis...dan bikin 1 bioskop terhibur dan ngakak.. hahaha....;4;Positif
Kayanya bakal jadi salah satu film Indonesia yang bagus di tahun ini LUCUUU HABISS;4;Positif
INI FILM BAGUS. PARAH. RELA BANGET DAH KALO FILM INI ADA LANJUTANNYA LUCU;4;Positif
bagus, baru kali ini merasa tertarik sama aktingnya.;4;Positif
FILM ini  bener2 kerenn parah...lucuuuuu;4;Positif
filmnya menarik banget sih wajibbb nonton lucuuu parahhhhh;4;Positif
Omg ini film ngakak abis 🤣 harussss nontonnnn;4;Positif
filmnya menarik banget sih lucu di pesawaaat haha;4;Positif
Pasti garing :v ga seruuu;4;Negatif
gw dah nonton dan nyesel..gak recomended ga rame ;4;Negatif
Gue mau hina film kayak gini, tapi pas liat kolom komentar udah penuh hinaan, akhirnya gw nulis ini aja. Iya, ini aja. GA RAME DAN GA SERUU;4;Negatif
Nyesel gua nonton trailernya :v ga rame;4;Negatif
Ah sudah lah..kualitan film indonesia makin lama makin turun ga bermutu ga seru;4;Negatif
sampah perfilman Indonesia ga rame;4;Negatif
gua abis nonton kurang lucu soal nya tempat syuting nya cuma di pesawat doang garing broo ga rame;4;Negatif
kurang bagus bung, filmnya apa ini film ga berguna ga rame;4;Negatif
lawakannya garing semua. melucu tapi gak lucu!;4;Negatif
Ga mutu filmnya. Lucunya kelas murahan. Ga berbobot;4;Negatif
Gak pernah berkembang film comedy indonesia Sedih :( ;4;Negatif
